iter	Passed	Remaining
173	231	1100
174	232	1095
175	232	1089
176	233	1084
177	233	1079
178	234	1074
179	234	1069
180	235	1063
181	235	1058
182	236	1054
183	236	1049
184	237	1044
185	237	1040
186	238	1035
187	238	1031
188	239	1026
189	239	1021
190	240	1017
191	240	1012
192	241	1008
193	241	1004
194	242	999
195	243	997
196	244	998
197	245	994
198	246	990
199	246	986
200	247	982
201	247	978
202	248	974
203	248	970
204	249	966
205	249	962
206	250	958
207	250	955
208	251	951
209	251	947
210	252	943
211	252	940
212	253	936
213	254	933
214	254	929
215	255	925
216	255	922
217	256	918
218	256	915
219	257	911
220	258	910
221	258	906
222	259	903
223	259	900
224	260	896
225	260	893
226	261	889
227	261	886
228	262	883
229	262	880
230	263	877
231	263	873
232	264	870
233	264	867
234	265	864
235	265	861
236	266	857
237	266	854
238	267	851
239	267	848
240	268	845
241	268	842
242	269	839
243	269	836
244	270	833
245	271	830
246	271	827
247	272	825
248	272	822
249	273	819
250	273	816
251	274	813
252	274	810
253	275	808
254	275	805
255	276	802
256	276	800
257	277	797
258	277	794
259	278	791
260	278	789
261	279	786
262	279	783
263	280	781
264	280	778
265	281	776
266	281	773
267	282	771
268	283	769
269	283	767
270	284	764
271	284	762
272	285	759
273	286	757
274	286	755
275	287	753
276	287	750
277	288	748
278	288	746
279	289	744
280	289	741
281	290	739
282	290	737
283	291	734
284	291	732
285	292	729
286	292	727
287	293	725
288	293	723
289	294	720
290	294	718
291	295	716
292	296	714
293	296	712
294	297	709
295	297	708
296	298	705
297	298	704
298	299	702
299	300	700
300	300	698
301	301	696
302	301	694
303	302	691
304	302	689
305	303	687
306	303	685
307	304	683
308	304	681
309	305	679
310	305	677
311	306	675
312	306	673
313	307	671
314	307	669
315	308	667
316	308	665
317	309	663
318	309	661
319	310	659
320	310	657
321	311	655
322	311	653
323	312	651
324	312	649
325	313	647
326	313	645
327	314	643
328	314	642
329	315	640
330	315	638
331	316	636
332	316	634
333	317	632
334	317	630
335	318	628
336	318	627
337	319	625
338	319	623
339	320	621
340	320	620
341	321	618
342	321	616
343	322	614
344	322	612
345	323	611
346	323	609
347	324	607
348	324	605
349	325	604
350	325	602
351	326	600
352	326	599
353	327	597
354	327	595
355	328	594
356	328	592
357	329	590
358	329	589
359	330	587
360	330	585
361	331	583
362	331	582
363	332	580
364	332	579
365	333	577
366	333	575
367	334	574
368	334	572
369	335	571
370	335	569
371	336	567
372	336	566
373	337	564
374	337	563
375	338	561
376	338	560
377	339	558
378	339	556
379	340	555
380	340	553
381	341	552
382	341	550
383	342	549
384	342	547
385	343	546
386	344	544
387	344	543
388	345	542
389	345	540
390	346	539
391	346	537
392	347	536
393	347	534
394	348	533
395	348	531
396	349	530
397	349	528
398	350	527
399	350	525
400	351	524
401	351	523
402	352	521
403	352	520
404	353	519
405	353	517
406	354	516
407	354	514
408	355	513
409	355	511
410	356	510
411	356	509
412	357	508
413	357	506
414	358	505
415	359	504
416	359	502
417	360	501
418	360	499
419	360	498
420	361	497
421	361	495
422	362	494
423	362	493
424	363	491
425	364	490
426	364	489
427	365	487
428	365	486
429	366	485
430	366	483
431	367	482
432	367	481
433	367	479
434	368	478
435	368	477
436	369	475
437	369	474
438	371	474
439	371	473
440	372	471
441	372	470
442	373	469
443	373	468
444	374	466
445	374	465
446	375	464
447	376	463
448	376	462
449	377	461
450	377	460
451	378	458
452	379	457
453	379	456
454	380	455
455	380	454
456	381	453
457	381	451
458	382	450
459	382	449
460	383	448
461	383	447
462	384	445
463	384	444
464	385	443
465	385	442
466	386	441
467	386	439
468	387	438
469	387	437
470	388	436
471	388	435
472	389	433
473	389	432
474	390	431
475	390	430
476	391	429
477	392	428
478	392	427
479	393	425
480	393	424
481	394	423
482	394	422
483	395	421
484	395	420
485	396	419
486	396	417
487	397	416
488	397	415
489	398	414
490	398	413
491	399	412
492	400	411
493	400	410
494	401	409
495	401	408
496	402	406
497	402	405
498	403	404
499	403	403
500	404	402
501	404	401
502	404	400
503	405	399
504	406	398
505	406	396
506	407	395
507	407	394
508	408	393
509	408	392
510	408	391
511	409	390
512	410	389
513	410	388
514	411	387
515	411	385
516	412	384
517	412	383
518	412	382
519	413	381
520	413	380
521	414	379
522	414	378
523	415	377
524	415	376
525	416	375
526	416	374
527	417	373
528	417	372
529	418	371
530	418	369
531	419	368
532	419	367
533	420	366
534	420	365
535	421	364
536	421	363
537	422	362
538	422	361
539	423	360
540	423	359
541	424	358
542	424	357
543	425	356
544	425	355
545	426	354
546	426	353
547	427	352
548	427	351
549	428	350
550	428	349
551	429	348
552	429	347
553	430	346
554	430	345
555	431	344
556	431	343
557	432	342
558	432	341
559	433	340
560	433	339
561	434	338
562	434	337
563	435	336
564	435	335
565	436	334
566	436	333
567	437	332
568	437	331
569	438	330
570	438	329
571	439	328
572	439	327
573	440	326
574	440	325
575	441	324
576	441	323
577	442	322
578	442	321
579	443	320
580	443	319
581	443	318
582	444	317
583	444	316
584	445	316
585	445	315
586	446	314
587	446	313
588	447	312
589	447	311
590	448	310
591	448	309
592	449	308
593	449	307
594	450	306
595	450	305
596	451	304
597	451	303
598	452	302
599	452	301
600	453	301
601	453	300
602	454	299
603	455	298
604	455	297
605	456	296
606	456	295
607	457	294
608	457	293
609	458	292
610	458	292
611	459	291
612	459	290
613	460	289
614	460	288
615	461	287
616	461	286
617	462	285
618	462	284
619	463	283
620	463	283
621	464	282
622	464	281
623	465	280
624	465	279
625	466	278
626	466	277
627	467	276
628	467	275
629	468	274
630	468	274
631	469	273
632	469	272
633	470	271
634	470	270
635	471	269
636	471	268
637	472	267
638	472	267
639	473	266
640	473	265
641	474	264
642	474	263
643	475	262
644	475	261
645	476	260
646	476	260
647	477	259
648	477	258
649	478	257
650	478	256
651	479	255
652	479	254
653	480	253
654	480	253
655	481	252
656	481	251
657	481	250
658	482	249
659	482	248
660	483	247
661	484	247
662	484	246
663	485	245
664	485	244
665	486	243
666	486	242
667	486	242
668	487	241
669	487	240
670	488	239
671	488	238
672	489	237
673	490	237
674	490	236
675	490	235
676	491	234
677	491	233
678	492	232
679	492	231
680	493	231
681	493	230
682	494	229
683	494	228
684	495	227
685	495	226
686	496	226
687	496	225
688	497	224
689	498	223
690	498	222
691	499	222
692	499	221
693	500	220
694	500	219
695	501	218
696	501	218
697	502	217
698	502	216
699	503	215
700	503	214
701	504	214
702	504	213
703	505	212
704	505	211
705	505	210
706	506	209
707	506	209
708	507	208
709	507	207
710	508	206
711	508	205
712	509	205
713	509	204
714	510	203
715	510	202
716	511	201
717	511	201
718	512	200
719	512	199
720	513	198
721	514	197
722	514	197
723	515	196
724	515	195
725	516	194
726	516	193
727	517	193
728	517	192
729	518	191
730	518	190
731	518	190
732	519	189
733	519	188
734	520	187
735	520	186
736	521	186
737	521	185
738	522	184
739	522	183
740	523	182
741	523	182
742	524	181
743	524	180
744	525	179
745	525	179
746	526	178
747	526	177
748	527	176
749	527	175
750	528	175
751	528	174
752	529	173
753	529	172
754	530	172
755	530	171
756	531	170
757	531	169
758	532	169
759	532	168
760	533	167
761	533	166
762	534	165
763	534	165
764	535	164
765	535	163
766	536	162
767	536	162
768	537	161
769	537	160
770	538	159
771	538	159
772	539	158
773	539	157
774	540	156
775	540	156
776	541	155
777	541	154
778	542	153
779	542	153
780	543	152
781	543	151
782	544	150
783	544	150
784	545	149
785	545	148
786	546	147
787	546	147
788	547	146
789	547	145
790	548	144
791	548	144
792	549	143
793	549	142
794	550	141
795	550	141
796	551	140
797	551	139
798	552	138
799	552	138
800	553	137
801	553	136
802	554	135
803	554	135
804	555	134
805	555	133
806	556	132
807	556	132
808	556	131
809	557	130
810	557	130
811	558	129
812	558	128
813	559	127
814	560	127
815	560	126
816	561	125
817	561	124
818	561	124
819	562	123
820	562	122
821	563	122
822	564	121
823	564	120
824	565	119
825	565	119
826	566	118
827	566	117
828	567	116
829	567	116
830	568	115
831	568	114
832	569	114
833	569	113
834	570	112
835	570	111
836	571	111
837	571	110
838	572	109
839	572	109
840	573	108
841	573	107
842	574	106
843	574	106
844	575	105
845	575	104
846	576	104
847	576	103
848	577	102
849	577	101
850	578	101
851	578	100
852	579	99
853	579	99
854	580	98
855	580	97
856	581	96
857	581	96
858	582	95
859	582	94
860	583	94
861	583	93
862	584	92
863	584	92
864	585	91
865	585	90
866	586	89
867	586	89
868	587	88
869	587	87
870	588	87
871	588	86
872	589	85
873	589	85
874	590	84
875	590	83
876	591	82
877	591	82
878	592	81
879	592	80
880	593	80
881	593	79
882	594	78
883	594	78
884	595	77
885	595	76
886	596	75
887	596	75
888	597	74
889	598	73
890	598	73
891	599	72
892	599	71
893	600	71
894	600	70
895	601	69
896	601	69
897	602	68
898	602	67
899	603	67
900	603	66
901	604	65
902	604	64
903	605	64
904	605	63
905	606	62
906	606	62
907	607	61
908	607	60
909	608	60
910	608	59
911	609	58
912	609	58
913	610	57
914	611	56
915	611	56
916	612	55
917	612	54
918	613	54
919	613	53
920	613	52
921	614	51
922	615	51
923	615	50
924	616	49
925	616	49
926	617	48
927	617	47
928	618	47
929	618	46
930	618	45
931	619	45
932	619	44
933	620	43
934	620	43
935	621	42
936	621	41
937	622	41
938	622	40
939	623	39
940	623	39
941	624	38
942	624	37
943	625	37
944	625	36
945	626	35
946	626	35
947	627	34
948	627	33
949	628	33
950	628	32
951	629	31
952	629	31
953	630	30
954	630	29
955	631	29
956	631	28
957	632	27
958	632	27
959	633	26
960	633	25
961	634	25
962	634	24
963	635	23
964	635	23
965	636	22
966	636	21
967	637	21
968	637	20
969	638	19
970	638	19
971	639	18
972	639	17
973	640	17
974	640	16
975	641	15
976	641	15
977	642	14
978	642	13
979	643	13
980	643	12
981	644	11
982	644	11
983	645	10
984	645	9
985	646	9
986	646	8
987	647	7
988	647	7
989	648	6
990	648	5
991	649	5
992	649	4
993	650	3
994	650	3
995	651	2
996	651	1
997	652	1
998	652	0
999	653	0
